date,store_id,zone,labor_hours,wage_cost,total_revenue,total_cost,profit,rev_per_hour,profit_per_hour,labor_cost_pct,staffing_action
2024-01-01,S1,Checkout,16,352,25985.670000000002,18356.94,7628.730000000003,1624.1043750000001,476.7956250000002,1.3545927428463456,Optimal
2024-01-01,S1,Floor,20,420,25985.670000000002,18356.94,7628.730000000003,1299.2835,381.43650000000014,1.6162754318052988,Optimal
2024-01-01,S1,Warehouse,20,440,25985.670000000002,18356.94,7628.730000000003,1299.2835,381.43650000000014,1.693240928557932,Optimal
2024-01-01,S2,Checkout,39,819,17322.14,12042.4,5279.74,444.1574358974359,135.37794871794873,4.728053231298211,Optimal
2024-01-01,S2,Floor,27,432,17322.14,12042.4,5279.74,641.5607407407407,195.54592592592593,2.4939181879375183,Optimal
2024-01-01,S2,Warehouse,12,216,17322.14,12042.4,5279.74,1443.5116666666665,439.9783333333333,1.2469590939687591,Optimal
2024-01-01,S3,Checkout,18,324,28216.97,20336.55,7880.420000000002,1567.6094444444445,437.8011111111112,1.1482451872047212,Optimal
2024-01-01,S3,Floor,21,399,28216.97,20336.55,7880.420000000002,1343.6652380952382,375.25809523809534,1.414042684242851,Optimal
2024-01-01,S3,Warehouse,16,320,28216.97,20336.55,7880.420000000002,1763.560625,492.5262500000001,1.1340693206960208,Optimal
2024-01-01,S4,Checkout,29,464,15265.84,10848.369999999999,4417.470000000001,526.408275862069,152.32655172413797,3.0394658924762736,Optimal
2024-01-01,S4,Floor,37,814,15265.84,10848.369999999999,4417.470000000001,412.59027027027025,119.39108108108111,5.332166457921739,Optimal
2024-01-01,S4,Warehouse,20,340,15265.84,10848.369999999999,4417.470000000001,763.292,220.87350000000006,2.227194835004166,Optimal
2024-01-01,S5,Checkout,17,289,16479.86,11416.26,5063.6,969.4035294117648,297.8588235294118,1.7536556742593685,Optimal
2024-01-01,S5,Floor,34,714,16479.86,11416.26,5063.6,484.7017647058824,148.9294117647059,4.332561077581969,Optimal
2024-01-01,S5,Warehouse,22,484,16479.86,11416.26,5063.6,749.0845454545455,230.16363636363639,2.936918153430915,Optimal
2024-01-02,S1,Checkout,17,357,19651.73,14293.25,5358.48,1155.9841176470588,315.2047058823529,1.8166339553820452,Optimal
2024-01-02,S1,Floor,37,888,19651.73,14293.25,5358.48,531.1278378378378,144.82378378378377,4.518686141118365,Optimal
2024-01-02,S1,Warehouse,33,627,19651.73,14293.25,5358.48,595.5069696969697,162.37818181818182,3.1905587955869534,Optimal
2024-01-02,S2,Checkout,22,352,19505.97,13683.75,5822.220000000001,886.6350000000001,264.6463636363637,1.8045757273286074,Optimal
2024-01-02,S2,Floor,31,620,19505.97,13683.75,5822.220000000001,629.2248387096774,187.8135483870968,3.1785140651810697,Optimal
2024-01-02,S2,Warehouse,18,270,19505.97,13683.75,5822.220000000001,1083.665,323.4566666666667,1.384191609030466,Optimal
2024-01-02,S3,Checkout,39,858,28142.25,19263.809999999998,8878.440000000002,721.5961538461538,227.65230769230774,3.048796738000693,Optimal
2024-01-02,S3,Floor,15,360,28142.25,19263.809999999998,8878.440000000002,1876.15,591.8960000000002,1.2792154145457453,Optimal
2024-01-02,S3,Warehouse,13,273,28142.25,19263.809999999998,8878.440000000002,2164.7884615384614,682.9569230769232,0.9700716893638568,Optimal
2024-01-02,S4,Checkout,8,128,23262.57,16889.4,6373.169999999998,2907.82125,796.6462499999998,0.5502401497341007,Optimal
2024-01-02,S4,Floor,15,360,23262.57,16889.4,6373.169999999998,1550.838,424.8779999999999,1.5475504211271582,Optimal
2024-01-02,S4,Warehouse,34,646,23262.57,16889.4,6373.169999999998,684.1932352941176,187.44617647058817,2.77699325568929,Optimal
2024-01-02,S5,Checkout,30,630,21461.97,15479.19,5982.780000000001,715.399,199.42600000000002,2.9354248468337247,Optimal
2024-01-02,S5,Floor,25,375,21461.97,15479.19,5982.780000000001,858.4788000000001,239.3112,1.747276694543884,Optimal
2024-01-02,S5,Warehouse,19,304,21461.97,15479.19,5982.780000000001,1129.5773684210526,314.8831578947369,1.4164589737102418,Optimal
