Date,Store_ID,Zone,Total_Visitors,Avg_Dwell_Time_Min,Zone_Area_SqFt
2025-08-31,Store_01,Electronics,478,27,1773
2025-08-31,Store_01,Clothing,311,32,1622
2025-08-31,Store_01,Grocery,185,22,1201
2025-08-31,Store_01,Home,430,30,944
2025-08-31,Store_01,Beauty,214,21,1355
2025-08-31,Store_02,Electronics,240,31,1207
2025-08-31,Store_02,Clothing,460,14,1933
2025-08-31,Store_02,Grocery,286,30,875
2025-08-31,Store_02,Home,397,31,1635
2025-08-31,Store_02,Beauty,493,9,1191
2025-08-31,Store_03,Electronics,299,33,1112
2025-08-31,Store_03,Clothing,520,37,1668
2025-08-31,Store_03,Grocery,361,23,1891
2025-08-31,Store_03,Home,273,17,1592
2025-08-31,Store_03,Beauty,214,50,1661
2025-09-01,Store_01,Electronics,308,41,619
2025-09-01,Store_01,Clothing,439,42,603
2025-09-01,Store_01,Grocery,404,16,1957
2025-09-01,Store_01,Home,188,16,1732
2025-09-01,Store_01,Beauty,389,46,1464
2025-09-01,Store_02,Electronics,519,38,1045
2025-09-01,Store_02,Clothing,512,39,1383
2025-09-01,Store_02,Grocery,237,50,623
2025-09-01,Store_02,Home,511,34,1751
2025-09-01,Store_02,Beauty,237,12,1728
2025-09-01,Store_03,Electronics,343,45,839
2025-09-01,Store_03,Clothing,302,47,573
2025-09-01,Store_03,Grocery,209,36,1279
2025-09-01,Store_03,Home,403,32,1437
2025-09-01,Store_03,Beauty,517,18,1905
2025-09-02,Store_01,Electronics,511,38,1475
2025-09-02,Store_01,Clothing,196,36,749
2025-09-02,Store_01,Grocery,205,19,547
2025-09-02,Store_01,Home,220,23,1557
2025-09-02,Store_01,Beauty,305,43,532
2025-09-02,Store_02,Electronics,486,22,1924
2025-09-02,Store_02,Clothing,551,35,608
2025-09-02,Store_02,Grocery,212,24,537
2025-09-02,Store_02,Home,325,38,1270
2025-09-02,Store_02,Beauty,315,18,1990
2025-09-02,Store_03,Electronics,404,8,1849
2025-09-02,Store_03,Clothing,573,47,1164
2025-09-02,Store_03,Grocery,327,48,1159
2025-09-02,Store_03,Home,237,29,725
2025-09-02,Store_03,Beauty,502,11,1865
2025-09-03,Store_01,Electronics,289,38,1358
2025-09-03,Store_01,Clothing,328,39,1771
2025-09-03,Store_01,Grocery,376,23,1721
2025-09-03,Store_01,Home,580,27,698
2025-09-03,Store_01,Beauty,158,44,914
2025-09-03,Store_02,Electronics,578,26,1472
2025-09-03,Store_02,Clothing,513,36,1190
2025-09-03,Store_02,Grocery,200,34,664
2025-09-03,Store_02,Home,423,19,1921
2025-09-03,Store_02,Beauty,314,28,796
2025-09-03,Store_03,Electronics,306,29,1853
2025-09-03,Store_03,Clothing,563,27,1574
2025-09-03,Store_03,Grocery,442,29,1611
2025-09-03,Store_03,Home,471,7,516
2025-09-03,Store_03,Beauty,540,48,1512
2025-09-04,Store_01,Electronics,486,15,1212
2025-09-04,Store_01,Clothing,369,19,1316
2025-09-04,Store_01,Grocery,189,38,1312
2025-09-04,Store_01,Home,173,13,1556
2025-09-04,Store_01,Beauty,228,32,1237
2025-09-04,Store_02,Electronics,570,31,1679
2025-09-04,Store_02,Clothing,281,18,1115
2025-09-04,Store_02,Grocery,560,27,1533
2025-09-04,Store_02,Home,183,16,965
2025-09-04,Store_02,Beauty,227,17,768
2025-09-04,Store_03,Electronics,318,32,945
2025-09-04,Store_03,Clothing,310,45,1363
2025-09-04,Store_03,Grocery,429,50,869
2025-09-04,Store_03,Home,443,44,754
2025-09-04,Store_03,Beauty,339,10,1984
2025-09-05,Store_01,Electronics,371,18,1729
2025-09-05,Store_01,Clothing,297,7,520
2025-09-05,Store_01,Grocery,283,27,1263
2025-09-05,Store_01,Home,288,45,577
2025-09-05,Store_01,Beauty,340,32,1904
2025-09-05,Store_02,Electronics,305,22,1946
2025-09-05,Store_02,Clothing,316,35,1881
2025-09-05,Store_02,Grocery,339,13,612
2025-09-05,Store_02,Home,352,36,893
2025-09-05,Store_02,Beauty,425,46,1175
2025-09-05,Store_03,Electronics,154,18,1412
