date,store_id,zone,labor_hours,wage_cost
2024-01-01,S1,Checkout,16,352
2024-01-01,S1,Floor,20,420
2024-01-01,S1,Warehouse,20,440
2024-01-01,S2,Checkout,39,819
2024-01-01,S2,Floor,27,432
2024-01-01,S2,Warehouse,12,216
2024-01-01,S3,Checkout,18,324
2024-01-01,S3,Floor,21,399
2024-01-01,S3,Warehouse,16,320
2024-01-01,S4,Checkout,29,464
2024-01-01,S4,Floor,37,814
2024-01-01,S4,Warehouse,20,340
2024-01-01,S5,Checkout,17,289
2024-01-01,S5,Floor,34,714
2024-01-01,S5,Warehouse,22,484
2024-01-02,S1,Checkout,17,357
2024-01-02,S1,Floor,37,888
2024-01-02,S1,Warehouse,33,627
2024-01-02,S2,Checkout,22,352
2024-01-02,S2,Floor,31,620
2024-01-02,S2,Warehouse,18,270
2024-01-02,S3,Checkout,39,858
2024-01-02,S3,Floor,15,360
2024-01-02,S3,Warehouse,13,273
2024-01-02,S4,Checkout,8,128
2024-01-02,S4,Floor,15,360
2024-01-02,S4,Warehouse,34,646
2024-01-02,S5,Checkout,30,630
2024-01-02,S5,Floor,25,375
2024-01-02,S5,Warehouse,19,304
2024-01-03,S1,Checkout,20,380
2024-01-03,S1,Floor,29,609
2024-01-03,S1,Warehouse,8,192
2024-01-03,S2,Checkout,13,260
2024-01-03,S2,Floor,27,405
2024-01-03,S2,Warehouse,21,483
2024-01-03,S3,Checkout,27,540
2024-01-03,S3,Floor,10,240
2024-01-03,S3,Warehouse,32,512
2024-01-03,S4,Checkout,29,696
2024-01-03,S4,Floor,10,170
2024-01-03,S4,Warehouse,8,120
2024-01-03,S5,Checkout,17,323
2024-01-03,S5,Floor,28,588
2024-01-03,S5,Warehouse,34,612
2024-01-04,S1,Checkout,25,425
2024-01-04,S1,Floor,15,240
2024-01-04,S1,Warehouse,20,460
2024-01-04,S2,Checkout,38,912
2024-01-04,S2,Floor,29,667
2024-01-04,S2,Warehouse,25,550
2024-01-04,S3,Checkout,30,540
2024-01-04,S3,Floor,30,690
2024-01-04,S3,Warehouse,17,272
2024-01-04,S4,Checkout,19,323
2024-01-04,S4,Floor,26,572
2024-01-04,S4,Warehouse,31,682
2024-01-04,S5,Checkout,32,672
2024-01-04,S5,Floor,22,330
2024-01-04,S5,Warehouse,26,442
2024-01-05,S1,Checkout,9,171
2024-01-05,S1,Floor,33,561
2024-01-05,S1,Warehouse,20,440
2024-01-05,S2,Checkout,13,286
2024-01-05,S2,Floor,9,216
2024-01-05,S2,Warehouse,37,629
2024-01-05,S3,Checkout,23,552
2024-01-05,S3,Floor,16,320
2024-01-05,S3,Warehouse,37,555
2024-01-05,S4,Checkout,35,665
2024-01-05,S4,Floor,13,260
2024-01-05,S4,Warehouse,36,720
2024-01-05,S5,Checkout,22,462
2024-01-05,S5,Floor,20,480
2024-01-05,S5,Warehouse,27,621
2024-01-06,S1,Checkout,9,180
2024-01-06,S1,Floor,29,551
