TransactionID,Date,Time,LaborHours,InventoryCost,FootTraffic,CustomerID,SalesAmount,LaborProductivity,InventoryEfficiency,FootTrafficEfficiency
1,1/1/2026,12:00:00 AM,7,296,65,1,580.0218308,82.86026154,1.959533212,8.923412782
2,1/1/2026,1:00:00 AM,4,155,49,2,378.9754444,94.7438611,2.445002867,7.734192743
3,1/1/2026,2:00:00 AM,5,100,107,3,747.8933779,149.5786756,7.478933779,6.989657737
4,1/1/2026,3:00:00 AM,7,130,49,4,412.5606037,58.9372291,3.173543105,8.419604157
5,1/1/2026,4:00:00 AM,3,182,100,5,704.8205567,234.9401856,3.872640421,7.048205567
6,1/1/2026,5:00:00 AM,5,334,42,6,434.5720195,86.9144039,1.301113831,10.34695284
7,1/1/2026,6:00:00 AM,5,437,15,7,270.2584889,54.05169779,0.618440478,18.0172326
8,1/1/2026,7:00:00 AM,7,187,156,8,1070.686141,152.955163,5.725594337,6.863372699
9,1/1/2026,8:00:00 AM,2,233,89,9,662.7659806,331.3829903,2.844489187,7.446808771
10,1/1/2026,9:00:00 AM,3,450,177,10,1240.414201,413.4714005,2.756476003,7.007989838
11,1/1/2026,10:00:00 AM,7,379,101,11,801.2693871,114.4670553,2.114167248,7.933360269
12,1/1/2026,11:00:00 AM,3,322,106,12,766.4848109,255.494937,2.380387612,7.230988783
13,1/1/2026,12:00:00 PM,3,389,68,13,539.3821774,179.7940591,1.386586574,7.932090844
14,1/1/2026,1:00:00 PM,5,118,68,14,516.3844926,103.2768985,4.376139768,7.593889597
15,1/1/2026,2:00:00 PM,4,83,57,15,451.8488492,112.9622123,5.443962039,7.927172794
16,1/1/2026,3:00:00 PM,3,311,178,16,1205.46988,401.8232933,3.876108939,6.772302696
17,1/1/2026,4:00:00 PM,6,102,22,17,323.5090033,53.91816722,3.171656895,14.7049547
18,1/1/2026,5:00:00 PM,5,499,116,18,933.340787,186.6681574,1.870422419,8.046041268
19,1/1/2026,6:00:00 PM,2,254,54,19,437.0986334,218.5493167,1.720860762,8.094419138
20,1/1/2026,7:00:00 PM,4,175,98,20,673.2509361,168.312734,3.847148206,6.869907511
21,1/1/2026,8:00:00 PM,6,284,190,21,1308.043997,218.0073328,4.60578872,6.884442087
22,1/1/2026,9:00:00 PM,6,92,179,22,1168.229585,194.7049308,12.69814766,6.526422261
23,1/1/2026,10:00:00 PM,2,289,109,23,705.7306431,352.8653216,2.441974544,6.474593056
24,1/1/2026,11:00:00 PM,4,420,164,24,1199.227867,299.8069667,2.855304444,7.312365041
25,1/2/2026,12:00:00 AM,5,160,175,25,1157.656483,231.5312967,7.235353021,6.615179905
26,1/2/2026,1:00:00 AM,1,298,197,26,1263.587998,1263.587998,4.24022818,6.414152273
27,1/2/2026,2:00:00 AM,4,200,16,27,222.317101,55.57927525,1.111585505,13.89481881
28,1/2/2026,3:00:00 AM,2,232,142,28,966.9749866,483.4874933,4.167995632,6.809683004
29,1/2/2026,4:00:00 AM,6,385,54,29,519.876755,86.64612584,1.350329234,9.627347315
30,1/2/2026,5:00:00 AM,5,144,67,30,520.12195,104.02439,3.611957986,7.763014179
31,1/2/2026,6:00:00 AM,4,423,40,31,449.2856222,112.3214056,1.062140951,11.23214056
32,1/2/2026,7:00:00 AM,1,449,32,32,330.8941922,330.8941922,0.736958112,10.34044351
33,1/2/2026,8:00:00 AM,1,57,179,33,1115.170012,1115.170012,19.56438618,6.230000068
34,1/2/2026,9:00:00 AM,3,437,147,34,1008.322661,336.1075538,2.307374511,6.859337833
35,1/2/2026,10:00:00 AM,3,409,169,35,1144.46043,381.48681,2.798191761,6.771955207
36,1/2/2026,11:00:00 AM,7,437,116,36,950.2661933,135.7523133,2.174522182,8.191949943
37,1/2/2026,12:00:00 PM,2,233,190,37,1201.093241,600.5466204,5.154906613,6.321543373
38,1/2/2026,1:00:00 PM,4,330,167,38,1168.024126,292.0060316,3.53946705,6.994156446
39,1/2/2026,2:00:00 PM,4,244,48,39,416.7900365,104.1975091,1.708155887,8.683125761
40,1/2/2026,3:00:00 PM,7,401,168,40,1222.365982,174.6237117,3.04829422,7.275987989
41,1/2/2026,4:00:00 PM,6,244,91,41,684.3461169,114.0576862,2.804697201,7.520286999
42,1/2/2026,5:00:00 PM,6,204,109,42,832.4802005,138.7467001,4.080785297,7.637433033
43,1/2/2026,6:00:00 PM,7,142,11,43,265.4967346,37.92810495,1.869695314,24.13606679
44,1/2/2026,7:00:00 PM,6,209,86,44,677.7057649,112.9509608,3.242611315,7.880299592
45,1/2/2026,8:00:00 PM,3,483,21,45,325.5747215,108.5249072,0.674067746,15.50355817
46,1/2/2026,9:00:00 PM,4,110,48,46,360.5300811,90.13252028,3.277546192,7.511043356
47,1/2/2026,10:00:00 PM,7,171,22,47,252.417083,36.05958329,1.476123293,11.47350377
48,1/2/2026,11:00:00 PM,4,100,55,48,418.8078329,104.7019582,4.188078329,7.61468787
49,1/3/2026,12:00:00 AM,1,452,164,49,1105.387511,1105.387511,2.44554759,6.740167747
50,1/3/2026,1:00:00 AM,3,326,122,50,821.6216962,273.8738987,2.520311951,6.734604067
51,1/3/2026,2:00:00 AM,5,54,26,51,271.3033744,54.26067487,5.024136562,10.43474517
52,1/3/2026,3:00:00 AM,3,141,113,52,790.8650036,263.6216679,5.608971657,6.998805342
53,1/3/2026,4:00:00 AM,7,219,107,53,786.9348368,112.4192624,3.593309757,7.354531185
54,1/3/2026,5:00:00 AM,5,366,197,54,1374.11893,274.8237859,3.754423305,6.975222993
55,1/3/2026,6:00:00 AM,1,71,97,55,648.358568,648.358568,9.131810817,6.684108949
56,1/3/2026,7:00:00 AM,7,454,118,56,955.3508006,136.4786858,2.104296918,8.096193226
57,1/3/2026,8:00:00 AM,2,375,172,57,1138.705361,569.3526803,3.036547628,6.620380004
58,1/3/2026,9:00:00 AM,4,50,79,58,542.0131976,135.5032994,10.84026395,6.860926552
59,1/3/2026,10:00:00 AM,1,182,167,59,1111.404283,1111.404283,6.106616937,6.655115465
60,1/3/2026,11:00:00 AM,4,282,83,60,650.0107993,162.5026998,2.305002834,7.831455413
61,1/3/2026,12:00:00 PM,6,61,72,61,556.4739631,92.74566052,9.122523985,7.728805043
62,1/3/2026,1:00:00 PM,2,395,165,62,1148.748877,574.3744383,2.908225004,6.962114404
63,1/3/2026,2:00:00 PM,2,95,69,63,446.8346593,223.4173296,4.703522729,6.475864627
64,1/3/2026,3:00:00 PM,1,83,88,64,549.2746434,549.2746434,6.617766788,6.241757312
65,1/3/2026,4:00:00 PM,2,482,46,65,460.7659547,230.3829774,0.955945964,10.01665119
66,1/3/2026,5:00:00 PM,5,127,31,66,323.6061534,64.72123068,2.548079948,10.43890817
67,1/3/2026,6:00:00 PM,2,267,157,67,1085.097149,542.5485743,4.064034264,6.911446806
68,1/3/2026,7:00:00 PM,4,350,105,68,769.2568337,192.3142084,2.197876668,7.326255559
69,1/3/2026,8:00:00 PM,4,460,77,69,672.993616,168.248404,1.4630296,8.740176832
70,1/3/2026,9:00:00 PM,7,122,26,70,333.2113234,47.60161762,2.731240355,12.81582013
71,1/3/2026,10:00:00 PM,4,331,21,71,255.6875469,63.92188672,0.77246993,12.17559747
72,1/3/2026,11:00:00 PM,7,298,159,72,1193.002414,170.4289163,4.003363806,7.503159837
73,1/4/2026,12:00:00 AM,4,96,154,73,1061.968225,265.4920562,11.06216901,6.895897564
74,1/4/2026,1:00:00 AM,5,170,147,74,1086.75259,217.350518,6.392662295,7.392874763
75,1/4/2026,2:00:00 AM,7,263,127,75,952.8280032,136.1182862,3.622920164,7.502582703
76,1/4/2026,3:00:00 AM,3,288,31,76,324.4927403,108.1642468,1.126710904,10.46750775
77,1/4/2026,4:00:00 AM,6,105,129,77,920.3098317,153.3849719,8.76485554,7.134184742
78,1/4/2026,5:00:00 AM,1,399,59,78,512.6340802,512.6340802,1.284797193,8.688713224
79,1/4/2026,6:00:00 AM,4,156,23,79,278.5910058,69.64775146,1.785839781,12.11265243
80,1/4/2026,7:00:00 AM,2,368,184,80,1267.920995,633.9604977,3.445437488,6.890874975
81,1/4/2026,8:00:00 AM,4,97,38,81,313.9181427,78.47953568,3.236269513,8.261003756
82,1/4/2026,9:00:00 AM,2,110,173,82,1137.659914,568.8299568,10.34236285,6.576068865
83,1/4/2026,10:00:00 AM,6,386,189,83,1307.662376,217.9437293,3.387726361,6.918848548
84,1/4/2026,11:00:00 AM,6,75,134,84,916.6755701,152.7792617,12.22234093,6.840862463
85,1/4/2026,12:00:00 PM,6,341,16,85,335.2120685,55.86867808,0.983026594,20.95075428
86,1/4/2026,1:00:00 PM,2,306,38,86,312.2926051,156.1463025,1.020564069,8.218226449
87,1/4/2026,2:00:00 PM,4,57,148,87,944.7757303,236.1939326,16.57501281,6.383619799
88,1/4/2026,3:00:00 PM,6,162,42,88,410.7524187,68.45873646,2.535508758,9.779819494
89,1/4/2026,4:00:00 PM,5,404,143,89,1066.017359,213.2034718,2.63865683,7.454666848
90,1/4/2026,5:00:00 PM,7,302,120,90,889.3492378,127.0498911,2.944865026,7.411243648
91,1/4/2026,6:00:00 PM,2,229,88,91,614.2141799,307.10709,2.682157991,6.97970659
92,1/4/2026,7:00:00 PM,2,256,169,92,1085.376538,542.6882691,4.239752102,6.422346379
93,1/4/2026,8:00:00 PM,4,352,188,93,1323.01455,330.7536375,3.758564062,7.037311436
94,1/4/2026,9:00:00 PM,2,176,67,94,477.1235593,238.5617796,2.710929314,7.121247153
95,1/4/2026,10:00:00 PM,2,105,35,95,325.2646773,162.6323387,3.097758832,9.293276495
96,1/4/2026,11:00:00 PM,6,263,183,96,1269.333007,211.5555012,4.826361245,6.936245942
97,1/5/2026,12:00:00 AM,4,63,38,97,300.3077909,75.07694772,4.766790332,7.902836603
98,1/5/2026,1:00:00 AM,6,77,13,98,181.5953472,30.26589119,2.358381132,13.96887286
99,1/5/2026,2:00:00 AM,7,127,108,99,783.7740049,111.967715,6.171448858,7.257166712
100,1/5/2026,3:00:00 AM,7,265,150,100,1087.824633,155.403519,4.104998615,7.252164219
101,1/5/2026,4:00:00 AM,6,435,48,101,583.8722273,97.31203788,1.342235005,12.16400474
102,1/5/2026,5:00:00 AM,7,414,24,102,363.0342099,51.86202999,0.876894227,15.12642541
103,1/5/2026,6:00:00 AM,4,203,128,103,879.7093962,219.927349,4.333543824,6.872729658
104,1/5/2026,7:00:00 AM,1,63,38,104,263.8678154,263.8678154,4.188378022,6.943889878
105,1/5/2026,8:00:00 AM,6,236,166,105,1189.508235,198.2513725,5.040289132,7.16571226
106,1/5/2026,9:00:00 AM,5,361,84,106,644.6704632,128.9340926,1.785790757,7.674648371
107,1/5/2026,10:00:00 AM,5,420,125,107,964.6527821,192.9305564,2.296792338,7.717222257
108,1/5/2026,11:00:00 AM,2,56,41,108,268.2772447,134.1386224,4.790665084,6.543347432
109,1/5/2026,12:00:00 PM,7,52,139,109,971.1981807,138.7425972,18.67688809,6.987037271
110,1/5/2026,1:00:00 PM,5,160,184,110,1212.187202,242.4374403,7.576170011,6.587973922
111,1/5/2026,2:00:00 PM,2,456,93,111,655.6769298,327.8384649,1.437888004,7.050289568
112,1/5/2026,3:00:00 PM,1,287,31,112,298.1873281,298.1873281,1.038980237,9.618946067
113,1/5/2026,4:00:00 PM,4,412,36,113,410.4343431,102.6085858,0.996199862,11.40095398
114,1/5/2026,5:00:00 PM,4,288,90,114,669.0275907,167.2568977,2.323012468,7.433639897
115,1/5/2026,6:00:00 PM,4,323,135,115,947.7496842,236.937421,2.934209549,7.020368031
116,1/5/2026,7:00:00 PM,5,343,193,116,1296.558818,259.3117636,3.780054864,6.717921338
117,1/5/2026,8:00:00 PM,1,276,101,117,726.9929982,726.9929982,2.634032602,7.197950478
118,1/5/2026,9:00:00 PM,5,420,30,118,407.4664735,81.49329469,0.97015827,13.58221578
119,1/5/2026,10:00:00 PM,7,64,56,119,433.8284734,61.97549621,6.778569898,7.746937026
120,1/5/2026,11:00:00 PM,5,241,110,120,791.1019662,158.2203932,3.282580773,7.191836056
121,1/6/2026,12:00:00 AM,1,168,196,121,1239.501326,1239.501326,7.377984086,6.323986359
122,1/6/2026,1:00:00 AM,1,77,93,122,664.2259584,664.2259584,8.626311148,7.142214607
123,1/6/2026,2:00:00 AM,7,251,15,123,286.6536524,40.95052178,1.142046424,19.1102435
124,1/6/2026,3:00:00 AM,1,88,156,124,949.0975345,949.0975345,10.78519926,6.083958555
125,1/6/2026,4:00:00 AM,1,490,194,125,1335.113409,1335.113409,2.724721243,6.882027883
126,1/6/2026,5:00:00 AM,4,322,140,126,955.2992538,238.8248134,2.966767869,6.823566098
127,1/6/2026,6:00:00 AM,7,280,10,127,270.5397093,38.6485299,0.966213247,27.05397093
128,1/6/2026,7:00:00 AM,3,135,67,128,537.7664218,179.2554739,3.983454976,8.026364505
129,1/6/2026,8:00:00 AM,3,175,133,129,945.8937506,315.2979169,5.405107146,7.111983087
130,1/6/2026,9:00:00 AM,1,349,175,130,1191.746805,1191.746805,3.414747293,6.809981743
131,1/6/2026,10:00:00 AM,3,74,24,131,193.6976293,64.56587644,2.617535531,8.070734555
132,1/6/2026,11:00:00 AM,3,194,171,132,1090.172947,363.3909824,5.619448182,6.375280394
133,1/6/2026,12:00:00 PM,1,62,198,133,1179.593849,1179.593849,19.02570724,5.95754469
134,1/6/2026,1:00:00 PM,3,261,172,134,1071.113487,357.0378289,4.103883091,6.227403993
