TransactionID,Date,LaborHours,InventoryCost,FootTraffic,CustomerID,SalesAmount
1,2026-01-01 00:00:00,7,296,65,1,580.0218308115949
2,2026-01-01 01:00:00,4,155,49,2,378.97544441756753
3,2026-01-01 02:00:00,5,100,107,3,747.8933778970387
4,2026-01-01 03:00:00,7,130,49,4,412.56060367033996
5,2026-01-01 04:00:00,3,182,100,5,704.8205566986181
6,2026-01-01 05:00:00,5,334,42,6,434.5720194876406
7,2026-01-01 06:00:00,5,437,15,7,270.2584889292977
8,2026-01-01 07:00:00,7,187,156,8,1070.6861410553277
9,2026-01-01 08:00:00,2,233,89,9,662.7659806378535
10,2026-01-01 09:00:00,3,450,177,10,1240.414201371261
11,2026-01-01 10:00:00,7,379,101,11,801.2693871220533
12,2026-01-01 11:00:00,3,322,106,12,766.4848109493145
13,2026-01-01 12:00:00,3,389,68,13,539.3821773988018
14,2026-01-01 13:00:00,5,118,68,14,516.3844925801425
15,2026-01-01 14:00:00,4,83,57,15,451.84884922993405
16,2026-01-01 15:00:00,3,311,178,16,1205.469879972172
17,2026-01-01 16:00:00,6,102,22,17,323.5090033102615
18,2026-01-01 17:00:00,5,499,116,18,933.3407870414701
19,2026-01-01 18:00:00,2,254,54,19,437.0986334352664
20,2026-01-01 19:00:00,4,175,98,20,673.2509360710259
21,2026-01-01 20:00:00,6,284,190,21,1308.04399659472
22,2026-01-01 21:00:00,6,92,179,22,1168.2295847089893
23,2026-01-01 22:00:00,2,289,109,23,705.7306431478763
24,2026-01-01 23:00:00,4,420,164,24,1199.2278666638642
25,2026-01-02 00:00:00,5,160,175,25,1157.656483333493
26,2026-01-02 01:00:00,1,298,197,26,1263.5879977700008
27,2026-01-02 02:00:00,4,200,16,27,222.31710101875393
28,2026-01-02 03:00:00,2,232,142,28,966.9749865666455
29,2026-01-02 04:00:00,6,385,54,29,519.8767550128116
30,2026-01-02 05:00:00,5,144,67,30,520.1219499717295
31,2026-01-02 06:00:00,4,423,40,31,449.28562221943207
32,2026-01-02 07:00:00,1,449,32,32,330.89419216170154
33,2026-01-02 08:00:00,1,57,179,33,1115.1700122528998
34,2026-01-02 09:00:00,3,437,147,34,1008.3226614483254
35,2026-01-02 10:00:00,3,409,169,35,1144.4604300471676
36,2026-01-02 11:00:00,7,437,116,36,950.2661933424122
37,2026-01-02 12:00:00,2,233,190,37,1201.0932408249812
38,2026-01-02 13:00:00,4,330,167,38,1168.0241264133988
39,2026-01-02 14:00:00,4,244,48,39,416.7900365340878
40,2026-01-02 15:00:00,7,401,168,40,1222.365982124393
41,2026-01-02 16:00:00,6,244,91,41,684.3461169309682
42,2026-01-02 17:00:00,6,204,109,42,832.4802005431613
43,2026-01-02 18:00:00,7,142,11,43,265.4967346355951
44,2026-01-02 19:00:00,6,209,86,44,677.7057648780059
45,2026-01-02 20:00:00,3,483,21,45,325.5747214701845
46,2026-01-02 21:00:00,4,110,48,46,360.53008110427515
47,2026-01-02 22:00:00,7,171,22,47,252.4170830452686
48,2026-01-02 23:00:00,4,100,55,48,418.80783285581475
49,2026-01-03 00:00:00,1,452,164,49,1105.3875105612576
50,2026-01-03 01:00:00,3,326,122,50,821.6216961505253
51,2026-01-03 02:00:00,5,54,26,51,271.30337437096745
52,2026-01-03 03:00:00,3,141,113,52,790.865003647555
53,2026-01-03 04:00:00,7,219,107,53,786.9348368114072
54,2026-01-03 05:00:00,5,366,197,54,1374.1189296383773
55,2026-01-03 06:00:00,1,71,97,55,648.3585680337529
56,2026-01-03 07:00:00,7,454,118,56,955.3508006118564
57,2026-01-03 08:00:00,2,375,172,57,1138.705360617038
58,2026-01-03 09:00:00,4,50,79,58,542.0131976028871
59,2026-01-03 10:00:00,1,182,167,59,1111.4042826012596
60,2026-01-03 11:00:00,4,282,83,60,650.0107993081534
61,2026-01-03 12:00:00,6,61,72,61,556.4739630954841
62,2026-01-03 13:00:00,2,395,165,62,1148.7488765810733
63,2026-01-03 14:00:00,2,95,69,63,446.8346592606524
64,2026-01-03 15:00:00,1,83,88,64,549.2746434215208
65,2026-01-03 16:00:00,2,482,46,65,460.7659547115523
66,2026-01-03 17:00:00,5,127,31,66,323.60615340061224
67,2026-01-03 18:00:00,2,267,157,67,1085.0971485275363
68,2026-01-03 19:00:00,4,350,105,68,769.2568336569542
69,2026-01-03 20:00:00,4,460,77,69,672.9936160403158
70,2026-01-03 21:00:00,7,122,26,70,333.2113233515693
71,2026-01-03 22:00:00,4,331,21,71,255.68754689135935
72,2026-01-03 23:00:00,7,298,159,72,1193.0024140739934
73,2026-01-04 00:00:00,4,96,154,73,1061.9682248203258
74,2026-01-04 01:00:00,5,170,147,74,1086.7525901886497
75,2026-01-04 02:00:00,7,263,127,75,952.8280032248998
76,2026-01-04 03:00:00,3,288,31,76,324.49274028787346
77,2026-01-04 04:00:00,6,105,129,77,920.3098316735195
78,2026-01-04 05:00:00,1,399,59,78,512.6340801914824
79,2026-01-04 06:00:00,4,156,23,79,278.5910058298682
80,2026-01-04 07:00:00,2,368,184,80,1267.9209954139533
81,2026-01-04 08:00:00,4,97,38,81,313.91814272885887
82,2026-01-04 09:00:00,2,110,173,82,1137.659913629205
83,2026-01-04 10:00:00,6,386,189,83,1307.6623755092182
84,2026-01-04 11:00:00,6,75,134,84,916.6755701017613
85,2026-01-04 12:00:00,6,341,16,85,335.212068481494
86,2026-01-04 13:00:00,2,306,38,86,312.2926050563904
87,2026-01-04 14:00:00,4,57,148,87,944.7757302900851
88,2026-01-04 15:00:00,6,162,42,88,410.75241873231874
89,2026-01-04 16:00:00,5,404,143,89,1066.0173591970847
90,2026-01-04 17:00:00,7,302,120,90,889.3492377703127
91,2026-01-04 18:00:00,2,229,88,91,614.2141799180959
92,2026-01-04 19:00:00,2,256,169,92,1085.3765381204898
93,2026-01-04 20:00:00,4,352,188,93,1323.0145499856171
94,2026-01-04 21:00:00,2,176,67,94,477.1235592698841
95,2026-01-04 22:00:00,2,105,35,95,325.26467732281895
96,2026-01-04 23:00:00,6,263,183,96,1269.3330073212007
97,2026-01-05 00:00:00,4,63,38,97,300.30779089791366
98,2026-01-05 01:00:00,6,77,13,98,181.59534716124605
99,2026-01-05 02:00:00,7,127,108,99,783.7740049442272
100,2026-01-05 03:00:00,7,265,150,100,1087.824632854014
101,2026-01-05 04:00:00,6,435,48,101,583.8722272973496
102,2026-01-05 05:00:00,7,414,24,102,363.0342098970192
103,2026-01-05 06:00:00,4,203,128,103,879.7093961768607
104,2026-01-05 07:00:00,1,63,38,104,263.86781537049535
105,2026-01-05 08:00:00,6,236,166,105,1189.5082351903277
106,2026-01-05 09:00:00,5,361,84,106,644.6704631678166
107,2026-01-05 10:00:00,5,420,125,107,964.6527821072893
108,2026-01-05 11:00:00,2,56,41,108,268.27724471936517
109,2026-01-05 12:00:00,7,52,139,109,971.1981806685285
110,2026-01-05 13:00:00,5,160,184,110,1212.1872017291864
111,2026-01-05 14:00:00,2,456,93,111,655.6769298072813
112,2026-01-05 15:00:00,1,287,31,112,298.1873280806246
113,2026-01-05 16:00:00,4,412,36,113,410.4343431104061
114,2026-01-05 17:00:00,4,288,90,114,669.0275907456171
115,2026-01-05 18:00:00,4,323,135,115,947.74968419571
116,2026-01-05 19:00:00,5,343,193,116,1296.5588182473705
117,2026-01-05 20:00:00,1,276,101,117,726.992998246166
118,2026-01-05 21:00:00,5,420,30,118,407.46647347400426
119,2026-01-05 22:00:00,7,64,56,119,433.8284734447233
120,2026-01-05 23:00:00,5,241,110,120,791.1019662138344
121,2026-01-06 00:00:00,1,168,196,121,1239.5013263658311
122,2026-01-06 01:00:00,1,77,93,122,664.2259584310664
123,2026-01-06 02:00:00,7,251,15,123,286.65365242766796
124,2026-01-06 03:00:00,1,88,156,124,949.0975345497486
125,2026-01-06 04:00:00,1,490,194,125,1335.113409284715
126,2026-01-06 05:00:00,4,322,140,126,955.2992537808576
127,2026-01-06 06:00:00,7,280,10,127,270.5397092974851
128,2026-01-06 07:00:00,3,135,67,128,537.7664218063346
129,2026-01-06 08:00:00,3,175,133,129,945.8937505525188
130,2026-01-06 09:00:00,1,349,175,130,1191.7468051042301
131,2026-01-06 10:00:00,3,74,24,131,193.6976293239561
132,2026-01-06 11:00:00,3,194,171,132,1090.1729473045762
133,2026-01-06 12:00:00,1,62,198,133,1179.5938486989266
134,2026-01-06 13:00:00,3,261,172,134,1071.1134867150436
135,2026-01-06 14:00:00,5,74,73,135,556.0156728902377
136,2026-01-06 15:00:00,2,117,34,136,266.01493439326805
