date,store_id,sku,quantity,total_revenue,total_cost,checkout_time_min,queue_length,customer_id,delay_cost_est
2024-02-05,S1,P176,2,1249.04,898.86,9.330116616160987,6,C1793,62.452
2024-10-28,S3,P21,2,327.24,251.26,6.376717919532775,11,C1773,16.362000000000002
2024-11-04,S1,P58,1,509.86,349.03,5.66434330008753,3,C1914,25.493000000000002
2024-08-28,S3,P164,3,1248.96,897.24,8.171180450776248,11,C693,62.44800000000001
2024-01-24,S3,P151,3,371.58,272.31,8.953387026946773,5,C270,18.579
2024-03-20,S1,P146,3,2188.89,1479.72,6.105809976660132,9,C952,109.4445
2024-02-05,S3,P83,2,466.54,372.98,4.11489753884007,3,C2002,0.0
2024-09-12,S4,P155,1,91.12,75.59,6.5351167123498,13,C1641,4.556
2024-06-17,S1,P132,3,526.98,395.61,6.272291313747117,5,C2029,26.349000000000004
2024-07-16,S3,P67,2,461.68,382.76,8.94174731566605,11,C1931,23.084000000000003
2024-10-28,S4,P24,4,1762.04,1403.2,1.938023225275129,5,C2124,0.0
2024-03-07,S1,P120,4,1241.12,1006.32,2.264976708205247,4,C2974,0.0
2024-12-09,S3,P193,1,313.93,254.24,5.703189394030707,1,C2984,15.6965
2024-05-24,S4,P149,1,306.76,214.15,5.094270005568284,14,C2513,15.338000000000001
2024-04-13,S3,P116,3,283.47,181.59,9.558357350522936,10,C2766,14.173500000000002
2024-01-17,S1,P35,1,770.57,486.17,9.703317477305315,2,C2241,38.52850000000001
2024-10-09,S1,P61,2,150.6,111.8,7.055845017382718,1,C1630,7.53
2024-10-30,S1,P50,4,609.96,382.92,5.1854972347058,5,C2384,30.498000000000005
2024-12-29,S3,P129,4,1168.92,766.44,1.04811544768928,2,C1232,0.0
2024-07-15,S2,P147,1,246.63,161.67,5.237806206008591,8,C447,12.3315
2024-11-27,S2,P34,3,1174.0500000000002,792.6299999999999,1.045238973488228,5,C1097,0.0
2024-10-08,S4,P82,4,121.24,99.8,9.247784900788597,9,C1149,6.062
2024-11-08,S5,P51,4,881.16,551.24,9.907807720684012,12,C1834,44.058
2024-05-16,S3,P86,3,1199.97,824.73,5.786845898545149,9,C2576,59.99850000000001
2024-04-08,S4,P15,1,553.94,367.21,8.329481013418853,0,C747,27.697000000000003
2024-07-08,S1,P86,1,399.99,274.91,4.1893946468752175,2,C64,0.0
2024-12-08,S5,P43,3,1869.0,1230.15,8.728283091201165,10,C2594,93.45
2024-02-05,S1,P52,2,1128.78,884.98,8.978522739777123,0,C52,56.439
2024-12-28,S2,P102,1,64.95,44.58,9.692490877464994,7,C1739,3.2475000000000005
2024-12-06,S5,P39,2,970.44,687.1,7.000170867032617,14,C2943,48.522000000000006
2024-05-19,S2,P162,3,1118.79,730.02,4.857798512876785,4,C545,0.0
2024-03-11,S1,P11,3,1676.0099999999998,1248.24,1.0556544037680702,1,C2323,0.0
2024-07-29,S5,P199,4,533.08,405.68,9.235886090410268,0,C2088,26.654000000000003
2024-12-01,S4,P156,4,1973.24,1395.76,2.6940897979214102,5,C549,0.0
2024-12-07,S2,P122,1,603.11,397.87,1.2530935565013137,12,C2308,0.0
2024-03-22,S3,P149,3,920.28,642.45,1.7579171005938852,7,C2886,0.0
2024-09-03,S5,P194,1,406.41,283.29,7.53455193456227,2,C2779,20.320500000000003
2024-11-21,S4,P93,3,1154.97,789.54,9.530709105282948,11,C2427,57.74850000000001
2024-07-28,S3,P70,1,566.61,427.06,2.57800817239174,6,C2688,0.0
2024-02-24,S1,P111,4,159.68,116.8,2.3070251792372414,9,C1233,0.0
2024-04-02,S3,P195,3,783.36,586.8,4.695388275144399,3,C604,0.0
2024-05-17,S1,P89,4,677.2,531.68,5.954907705579959,12,C1290,33.86000000000001
